unicode,emoji,name,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,
1F448,👈,backhand_index_pointing_left,0.14,0.17,0,0,0,0,0.06,0.08,
1F449,👉,backhand_index_pointing_right,0.06,0.25,0,0,0,0,0.03,0.17,
1F44A,👊,oncoming_fist,0.44,0.36,0.14,0.11,0.22,0,0,0.61,
1F44B,👋,waving_hand,0.08,0.28,0.06,0,0.22,0,0.08,0.22,
1F44C,👌,OK_hand,0,0.36,0,0,0.22,0,0.22,0.56,
1F44D,👍,thumbs_up,0.11,0.39,0.06,0.08,0.39,0.06,0.14,0.47,
1F44E,👎,thumbs_down,0.5,0.08,0.67,0.14,0,0.31,0.14,0.06,
1F44F,👏,clapping_hands,0.08,0.39,0.08,0,0.64,0,0.25,0.53,
1F451,👑,crown,0,0.25,0,0,0.28,0,0.11,0.25,
1F47B,👻,ghost,0.11,0.08,0.08,0.69,0,0.11,0.31,0.08,
1F480,💀,skull,0.19,0.14,0.25,0.61,0.03,0.31,0.06,0.11,
1F481,💁,person_tipping_hand,0.08,0.33,0.08,0.06,0.14,0.06,0.17,0.25,
1F483,💃,woman_dancing,0,0.11,0,0,0.69,0,0.17,0.19,
1F48B,💋,kiss_mark,0,0.28,0,0,0.78,0,0.19,0.69,
1F48E,💎,gem_stone,0,0.31,0,0.06,0.33,0,0.25,0.5,
1F490,💐,bouquet,0,0.39,0,0,0.69,0.11,0.36,0.58,
1F493,💓,beating_heart,0,0.47,0,0.08,0.61,0,0.19,0.67,
1F494,💔,broken_heart,0.39,0.19,0.33,0.14,0,0.94,0.08,0.17,
1F495,💕,two_hearts,0,0.31,0,0,0.83,0,0.11,0.75,
1F496,💖,sparkling_heart,0,0.33,0,0,0.89,0,0.25,0.53,
1F497,💗,growing_heart,0,0.36,0,0,0.89,0,0.22,0.5,
1F498,💘,heart_with_arrow,0.03,0.31,0.06,0.06,0.67,0.14,0.06,0.64,
1F499,💙,blue_heart,0,0.25,0,0,0.61,0.17,0.17,0.28,
1F49A,💚,green_heart,0,0.11,0,0,0.58,0.03,0.03,0.33,
1F49B,💛,yellow_heart,0.03,0.11,0.06,0,0.53,0.08,0.08,0.36,
1F49C,💜,purple_heart,0,0.11,0.06,0.06,0.47,0.11,0.08,0.31,
1F49E,💞,revolving_hearts,0,0.25,0,0,0.83,0,0.22,0.61,
1F4A4,💤,zzz,0.06,0.36,0.19,0.06,0.11,0.14,0.06,0.22,
1F4A5,💥,collision,0.44,0.19,0.19,0.31,0.11,0.14,0.31,0.08,
1F4A6,💦,sweat_droplets,0,0.11,0.11,0.06,0,0.14,0,0,
1F4A9,💩,pile_of_poo,0.14,0.08,0.64,0,0.25,0.03,0.19,0.11,
1F4AA,💪,flexed_biceps,0.03,0.31,0,0,0.42,0,0.08,0.31,
1F4AB,💫,dizzy,0,0.19,0,0.06,0.44,0,0.19,0.11,
1F4AD,💭,thought_balloon,0.11,0.64,0.11,0.11,0.17,0.11,0.17,0.22,
1F4AF,💯,hundred_points,0.06,0.28,0.06,0.06,0.64,0.06,0.19,0.53,
1F4B0,💰,money_bag,0,0.58,0,0.06,0.47,0.06,0.25,0.36,
1F4F7,📷,camera,0,0.19,0.03,0,0.14,0,0.08,0.08,
1F51E,🔞,no_one_under_eighteen,0.11,0.11,0.08,0.03,0.08,0.11,0,0.19,
1F525,🔥,fire,0.47,0.22,0.14,0.17,0.25,0.11,0.39,0.14,
1F52B,🔫,pistol,0.44,0.14,0.17,0.14,0.03,0.14,0,0.11,
1F534,🔴,red_circle,0.08,0.06,0,0.11,0,0.03,0.19,0,
1F600,😀,grinning_face,0.06,0.22,0.06,0.06,0.69,0.06,0.14,0.25,
1F601,😁,beaming_face_with_smiling_eyes,0.06,0.25,0,0.08,0.89,0.06,0.33,0.36,
1F602,😂,face_with_tears_of_joy,0,0.17,0.06,0.06,0.94,0,0.33,0.22,
1F603,😃,grinning_face_with_big_eyes,0,0.31,0,0.06,0.83,0,0.33,0.36,
1F604,😄,grinning_face_with_smiling_eyes,0,0.36,0,0,0.86,0,0.28,0.28,
1F605,😅,grinning_face_with_sweat,0.08,0.44,0.06,0.28,0.42,0.06,0.36,0.17,
1F606,😆,grinning_squinting_face,0.06,0.19,0.06,0.06,0.94,0.06,0.25,0.31,
1F607,😇,smiling_face_with_halo,0,0.31,0,0,0.72,0,0.17,0.5,
1F608,😈,smiling_face_with_horns,0.14,0.44,0.06,0.19,0.33,0.08,0.03,0,
1F609,😉,winking_face,0,0.42,0,0,0.44,0.08,0.28,0.47,
1F60A,😊,smiling_face_with_smiling_eyes,0,0.42,0,0,0.92,0,0.33,0.47,
1F60B,😋,face_savoring_food,0,0.47,0,0,0.78,0,0.19,0.11,
1F60C,😌,relieved_face,0,0.33,0,0.11,0.81,0,0.22,0.61,
1F60D,😍,smiling_face_with_heart-eyes,0,0.31,0,0,0.83,0,0.5,0.5,
1F60E,😎,smiling_face_with_sunglasses,0,0.22,0,0,0.75,0,0.06,0.33,
1F60F,😏,smirking_face,0.22,0.33,0.28,0.14,0.22,0.22,0.11,0.22,
1F610,😐,neutral_face,0.14,0.33,0.31,0.17,0.06,0.25,0.31,0.08,
1F611,😑,expressionless_face,0.28,0.22,0.47,0.14,0,0.33,0.19,0.17,
1F612,😒,unamused_face,0.58,0.14,0.64,0.17,0,0.42,0.11,0,
1F613,😓,downcast_face_with_sweat,0.19,0.44,0.31,0.64,0,0.36,0.17,0.11,
1F614,😔,pensive_face,0.25,0.22,0.31,0.28,0,0.72,0.19,0.14,
1F615,😕,confused_face,0.19,0.42,0.36,0.36,0,0.39,0.28,0.17,
1F616,😖,confounded_face,0.22,0.36,0.67,0.5,0.08,0.53,0.11,0.11,
1F618,😘,face_blowing_a_kiss,0,0.33,0,0,0.72,0,0.17,0.61,
1F619,😙,kissing_face_with_smiling_eyes,0,0.47,0,0,0.83,0,0.17,0.83,
1F61A,😚,kissing_face_with_closed_eyes,0,0.44,0,0,0.86,0,0.22,0.67,
1F61B,😛,face_with_tongue,0,0.31,0,0.03,0.69,0,0.28,0.19,
1F61C,😜,winking_face_with_tongue,0,0.42,0,0.06,0.64,0,0.28,0.11,
1F61D,😝,squinting_face_with_tongue,0,0.22,0.06,0.08,0.83,0,0.22,0.14,
1F61E,😞,disappointed_face,0.39,0.19,0.5,0.33,0,0.92,0.06,0.08,
1F61F,😟,worried_face,0.25,0.44,0.44,0.72,0,0.69,0.17,0.08,
1F620,😠,angry_face,1,0.17,0.56,0.17,0,0.25,0.11,0.08,
1F621,😡,pouting_face,1,0.11,0.56,0.11,0,0.36,0.08,0.06,
1F622,😢,crying_face,0.25,0.08,0.36,0.5,0,1,0.08,0.11,
1F623,😣,persevering_face,0.31,0.28,0.67,0.47,0,0.64,0,0.08,
1F624,😤,face_with_steam_from_nose,0.75,0.11,0.64,0.14,0,0.25,0.03,0,
1F625,😥,sad_but_relieved_face,0.14,0.19,0.25,0.33,0.03,0.81,0.08,0.06,
1F628,😨,fearful_face,0.17,0.39,0.33,0.97,0,0.56,0.39,0.14,
1F629,😩,weary_face,0.33,0.25,0.5,0.47,0,0.75,0.14,0.08,
1F62A,😪,sleepy_face,0.11,0.08,0.44,0.28,0,0.64,0.06,0,
1F62B,😫,tired_face,0.36,0.14,0.64,0.17,0.11,0.72,0.06,0.06,
1F62C,😬,grimacing_face,0.14,0.53,0.28,0.44,0.17,0.11,0.25,0.11,
1F62D,😭,loudly_crying_face,0.22,0.08,0.36,0.33,0,1,0.08,0.08,
1F630,😰,anxious_face_with_sweat,0.22,0.31,0.39,0.83,0,0.69,0.08,0.06,
1F631,😱,face_screaming_in_fear,0.28,0.42,0.42,0.92,0.06,0.25,0.69,0.11,
1F633,😳,flushed_face,0.06,0.36,0.33,0.5,0.14,0.19,0.44,0.08,
1F634,😴,sleeping_face,0,0.06,0.14,0,0.03,0.03,0,0.03,
1F636,😶,face_without_mouth,0.06,0.22,0.33,0.36,0,0.14,0.19,0.03,
1F637,😷,face_with_medical_mask,0.03,0.17,0.53,0.5,0,0.22,0.03,0.11,
1F639,😹,cat_with_tears_of_joy,0,0.17,0,0,0.94,0,0.14,0.28,
1F63B,😻,smiling_cat_with_heart-eyes,0,0.42,0,0,0.75,0.06,0.33,0.42,
1F645,🙅,person_gesturing_NO,0.47,0.25,0.53,0.33,0.06,0.33,0.11,0.19,
1F646,🙆,person_gesturing_OK,0.03,0.33,0,0,0.39,0,0.03,0.61,
1F648,🙈,see-no-evil monkey,0,0.39,0.17,0.17,0.28,0.03,0.5,0.22,
1F64A,🙊,speak-no-evil_monkey,0.06,0.44,0.19,0.47,0.14,0.08,0.42,0.28,
1F64B,🙋,person_raising_hand,0,0.53,0,0,0.44,0,0.19,0.25,
1F64C,🙌,raising_hands,0,0.33,0,0,0.72,0,0.39,0.47,
1F64F,🙏,folded_hands,0.06,0.44,0,0.11,0.25,0.11,0.17,0.58,
203C,‼,double_exclamation_mark,0.44,0.42,0.11,0.06,0.14,0,0.89,0.03,
21A9,↩,right_arrow_curving_left,0,0.06,0,0,0,0,0,0.08,
21AA,↪,left_arrow_curving_right,0.06,0.19,0,0,0,0,0,0.11,
25B6,▶,play_button,0,0.08,0,0,0.03,0,0,0,
25C0,◀,reverse_button,0,0.06,0,0,0,0,0.06,0.11,
2600,☀,sun,0,0.22,0,0,0.44,0,0.06,0.14,
2611,☑,check_box_with_check,0,0.22,0,0,0.25,0,0,0.47,
261D,☝,index_pointing_up,0.11,0.31,0.11,0.11,0.03,0.11,0,0.17,
263A,☺,smiling_face,0,0.42,0,0,1,0,0.39,0.5,
2665,♥,heart_suit,0,0.28,0,0,0.72,0,0.11,0.56,
267B,♻,recycling_symbol,0.03,0.19,0.03,0,0.03,0.03,0,0.28,
26A1,⚡,high_voltage,0.28,0.31,0.06,0.25,0.08,0,0.36,0.14,
26BD,⚽,soccer_ball,0,0.33,0,0.06,0.25,0,0,0.06,
2705,✅,check_mark_button,0,0.31,0,0,0.19,0,0,0.33,
2708,✈,airplane,0,0.44,0,0.11,0.28,0.11,0.19,0.28,
270A,✊,raised_fist,0.25,0.5,0.17,0.11,0.03,0.11,0.08,0.36,
270B,✋,raised_hand,0.22,0.25,0.19,0.11,0.06,0.06,0.08,0.28,
270C,✌,victory_hand,0,0.42,0,0,0.61,0,0.17,0.47,
2714,✔,check_mark,0,0.25,0,0,0.14,0,0,0.36,
2728,✨,sparkles,0,0.36,0,0.06,0.53,0,0.44,0.31,
2744,❄,snowflake,0.11,0.33,0.14,0.17,0.28,0.14,0.22,0.17,
274C,❌,cross_mark,0.5,0.14,0.58,0.25,0,0.31,0.08,0.06,
2757,❗,exclamation_mark,0.44,0.42,0.31,0.42,0.08,0.17,0.81,0.11,
2764,❤,red_heart,0,0.36,0,0,0.69,0,0.14,0.67,
27A1,➡,right_arrow,0,0.06,0,0,0,0,0,0.22,
2B05,⬅,left_arrow,0.17,0.14,0.17,0.14,0,0.14,0.03,0.06,
2B50,⭐,star,0,0.17,0,0,0.39,0,0.17,0.22, 
